genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.936022,35.610678
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935916,35.607454
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.93589,35.60795
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935189,35.609914
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.931888,35.60656
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.930751,35.60383
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.930677,35.603922
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.930595,35.603789
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.927127,35.614022
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.874469,35.468894
Agkistrodon_contortrix_mokasen,Agkistrodon  contortrix mokasen,993,Northern Copperhead,Reptile,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.873982,35.46914
