genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.999931,35.553522
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.997925,35.554455
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.994755,35.556679
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.990705,35.529904
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.990005,35.521765
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989904,35.55971
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989451,35.556414
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989366,35.5562
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989294,35.553678
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.987197,35.52096
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.986923,35.553692
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985958,35.568992
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985115,35.568247
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985012,35.572314
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.980965,35.573838
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.968296,35.588959
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.967444,35.588872
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935428,35.608304
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934573,35.604242
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93401,35.603625
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.933728,35.608598
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93247,35.610115
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.930866,35.608199
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.928544,35.611094
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.925202,35.611148
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.924577,35.612786
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.909317,35.612912
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.774002,35.484992
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.724745,35.473965
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.723046,35.472894
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.722739,35.472613
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.715365,35.666276
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.71001,35.662738
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.705003,35.476996
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.70197,35.652607
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.694721,35.666921
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.564883,35.438161
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.563004,35.463999
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.535137,35.689263
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.533205,35.680912
Ambloplites_rupestris,Ambloplites  rupestris,1703,Rock Bass,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.522661,35.439781
