genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.992217,35.5344
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.991534,35.532641
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.990584,35.539136
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.985406,35.528845
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.976575,35.510363
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.972228,35.598605
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.936104,35.610504
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.887494,35.650237
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.88741,35.650365
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.872893,35.521152
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.844712,35.594402
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.844618,35.594531
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.843876,35.593854
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838038,35.589125
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.837954,35.589253
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.835258,35.588848
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.834612,35.671476
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.821933,35.607187
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814983,35.59246
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814889,35.592309
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814888,35.592589
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.811648,35.597739
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.811564,35.597867
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.80915,35.600798
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.809055,35.600927
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.809059,35.646758
Anaxyrus_americanus,Anaxyrus  americanus,2088,Eastern American Toad,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.808598,35.605516
