genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988001,35.555386
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978234,35.527211
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.94395,35.509524
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.859727,35.553065
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.831025,35.548218
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.757531,35.585876
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.756827,35.586252
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.719971,35.471242
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.712961,35.470201
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696781,35.484544
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.695843,35.483177
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.644072,35.590322
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.618851,35.445619
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.605959,35.450955
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.605959,35.450964
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.529109,35.532723
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.5112,35.512898
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.468733,35.682063
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.422696,35.674364
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.395088,35.4999
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.316587,35.515812
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.29838,35.705854
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.268177,35.765894
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.267678,35.764299
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.265672,35.750094
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.193472,35.763701
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.139463,35.588966
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12817,35.738202
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.125776,35.597637
Aralia_racemosa,Aralia  racemosa,3393,American Spikenard,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.081423,35.58635
