genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.899474,35.637403
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889213,35.626546
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.886765,35.627227
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.864922,35.520837
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.864844,35.520506
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.850247,35.529829
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.84335,35.592686
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.841223,35.593412
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.840851,35.577252
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.839918,35.521141
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.838601,35.579143
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.809934,35.62982
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.806106,35.631775
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.804449,35.624819
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.784095,35.603543
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.782965,35.603092
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.769164,35.468608
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.767781,35.484161
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.767222,35.469158
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.750836,35.450001
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.750278,35.468878
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.745257,35.625138
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.743099,35.609793
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.740847,35.639831
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.724984,35.614576
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.720069,35.511088
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718337,35.450548
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718058,35.46777
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.702221,35.466657
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.701665,35.467498
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.694252,35.682858
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691825,35.642199
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.690454,35.645078
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.688836,35.640301
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.66677,35.666723
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.656865,35.657145
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.639835,35.588657
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.638141,35.445713
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.629844,35.697271
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.564618,35.640001
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559699,35.493895
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.559538,35.497504
Archilochus_colubris,Archilochus  colubris,3585,Ruby-throated Hummingbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.546539,35.498438
