genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981055,35.530134
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980558,35.521179
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978703,35.524388
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.974307,35.557879
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973506,35.556484
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.935099,35.606861
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.933891,35.611838
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883403,35.464859
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860274,35.648372
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837579,35.595193
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835133,35.454971
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.833598,35.454872
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.800301,35.602095
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.788617,35.605367
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.716187,35.464892
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.664817,35.438303
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.664049,35.438383
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.662252,35.438333
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.661357,35.438578
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.660581,35.668591
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.628013,35.445213
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.606757,35.451109
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.60205,35.450327
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.599032,35.446904
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598715,35.446622
Arundinaria_gigantea_gigantea,Arundinaria  gigantea gigantea,4041,Giant Cane,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598107,35.446915
