genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973506,35.556484
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.849298,35.483984
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840841,35.523552
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.782582,35.598729
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.780952,35.587978
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.771821,35.616292
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.665035,35.615178
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.664873,35.66745
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.66417,35.616721
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.662355,35.616256
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.661248,35.668738
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.637792,35.60708
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.48288,35.695428
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447058,35.639762
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444901,35.654138
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444794,35.65423
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444696,35.653935
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.443624,35.652082
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.437909,35.667512
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.429012,35.475596
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.397588,35.675551
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.395135,35.620066
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393364,35.619533
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393243,35.618814
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.380627,35.618118
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.305235,35.594931
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.303704,35.595411
Asplenium_montanum,Asplenium  montanum,4129,Mountain Spleenwort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.300476,35.595986
