genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.878159,35.465164
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.866198,35.518274
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.808843,35.646276
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.807093,35.644839
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.805934,35.609508
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.69872,35.639368
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698418,35.64024
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698383,35.640196
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698099,35.639634
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549241,35.564316
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542702,35.611487
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542486,35.612339
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542302,35.611406
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.541688,35.611527
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.5398,35.611504
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.49823,35.685204
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.498186,35.685583
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.497682,35.685368
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.49517,35.558787
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.494253,35.537037
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.494113,35.537139
Astatumen_trinacriae,Astatumen  trinacriae,4143,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468502,35.63224
