genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.868463,35.526161
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.865613,35.520127
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.846378,35.563845
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.825226,35.592229
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.822979,35.460547
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.787104,35.59931
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.719734,35.473366
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.711745,35.640896
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.69845,35.640555
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.671417,35.610927
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.669346,35.612721
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.566043,35.46671
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.543455,35.611913
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.499327,35.686019
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.499263,35.68786
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.495419,35.559701
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.494794,35.540983
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.468897,35.634305
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.442797,35.608958
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.438552,35.610928
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.438492,35.611137
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.43716,35.65489
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.388806,35.695917
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.35659,35.704386
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.342033,35.709988
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.309217,35.522588
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.300102,35.507636
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.277719,35.738247
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.205348,35.755597
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.072377,35.583044
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.063473,35.589552
Blarina_brevicauda,Blarina  brevicauda,4884,Northern Short-tailed Shrew,Mammal,Ecological Framework: Biological Integrity | Focal Species or Communities | Mammals,-83.060315,35.59204
