genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.878798,35.547564
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.809579,35.533497
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.804304,35.539063
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.745589,35.622886
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.735665,35.650071
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.726294,35.654096
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718151,35.655948
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.716317,35.558348
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.694519,35.648106
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691825,35.642199
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.690625,35.641307
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.680121,35.649788
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.668491,35.680593
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.660424,35.683502
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.655817,35.68949
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.637831,35.695221
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.632528,35.697582
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.597897,35.643362
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.593007,35.699738
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.590748,35.671602
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.57917,35.671184
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.57311,35.641055
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.561275,35.662886
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.558418,35.477112
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.557294,35.696312
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.556797,35.472207
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.553973,35.659724
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.552511,35.638095
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.549457,35.498322
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.548707,35.459596
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.546539,35.498438
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.539081,35.64705
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.534925,35.660199
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.528326,35.6849
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.498698,35.536341
Valid,Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,-83.485418,35.66079
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.44481,35.637735
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.438941,35.702861
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.437531,35.703377
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.428686,35.671178
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.416321,35.702921
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.415922,35.614927
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.412285,35.616947
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.398545,35.585267
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.386498,35.577204
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.385173,35.573075
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.383311,35.564954
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.382245,35.576657
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.376245,35.57747
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.374115,35.743035
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.373994,35.559531
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372039,35.746474
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.363557,35.631903
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.363347,35.62402
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.354576,35.623101
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.311003,35.548686
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.196786,35.726124
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.181218,35.737359
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.177237,35.773056
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.165957,35.752752
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.144863,35.763668
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.099903,35.681962
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.071573,35.600654
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
Bonasa_umbellus,Bonasa  umbellus,5167,Ruffed Grouse,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.046875,35.630726
