genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.802362,35.464534
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.786331,35.474063
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.781752,35.462704
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.770368,35.484408
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752423,35.482647
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.708938,35.473113
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.705902,35.474254
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.572902,35.471387
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.570383,35.450763
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.567505,35.467995
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.520496,35.559837
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.519414,35.562969
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.511737,35.563355
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509154,35.562588
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49995,35.561031
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.495309,35.556873
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494921,35.539033
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493833,35.555894
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492,35.561872
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.491312,35.56496
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.490772,35.567441
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.487783,35.565691
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.48766,35.567081
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.483463,35.61513
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.479869,35.585234
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478723,35.58313
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478053,35.581089
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477688,35.651881
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.47644,35.593209
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.474621,35.588956
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.473165,35.59151
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.473121,35.587914
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469122,35.650579
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.465934,35.594263
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.450559,35.576829
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447824,35.577957
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447608,35.650198
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.445194,35.656124
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440791,35.621781
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439455,35.654799
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.438071,35.645605
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436188,35.646527
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.434654,35.620364
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433713,35.663938
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.431435,35.607728
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.410537,35.638516
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39533,35.628445
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.394938,35.623071
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.390476,35.628947
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.385701,35.625418
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.293353,35.673878
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.287644,35.672419
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254586,35.707936
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.252819,35.71427
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.251333,35.695621
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.249942,35.719651
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.243993,35.719168
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.243103,35.738285
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.229416,35.692712
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.223838,35.693166
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.117382,35.708681
Brotherella_recurvans,Brotherella  recurvans,5702,Recurved Brotherella Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.111305,35.71672
