genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.917977,35.637073
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.909454,35.631304
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889015,35.628407
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.874697,35.488293
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.857118,35.652458
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.853686,35.590134
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.82319,35.618135
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.820666,35.618852
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813692,35.622702
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.807295,35.631702
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.78463,35.604333
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.781463,35.480827
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.768221,35.567217
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.767222,35.469158
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.766601,35.5724
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.762836,35.619481
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.734944,35.593953
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.733031,35.575348
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.731693,35.475123
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.730876,35.595695
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.7297,35.567888
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.729381,35.597477
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.718087,35.466345
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.717804,35.460881
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.717673,35.617057
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.694346,35.643927
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.692975,35.445438
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691825,35.642199
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691214,35.44646
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.688775,35.44601
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.682591,35.646065
Buteo_platypterus,Buteo  platypterus,5926,Broad-winged Hawk,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.680995,35.447878
