genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991607,35.554783
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980803,35.531068
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.97989,35.521015
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975404,35.558303
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972274,35.557479
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.815202,35.530968
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.81307,35.501806
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.807088,35.643135
Campanulastrum_americanum,Campanulastrum  americanum,5277,American-bellflower,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.8055,35.567688
