genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985012,35.572314
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.981427,35.522329
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.980965,35.573838
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.967444,35.588872
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.967057,35.590648
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.965039,35.589778
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935428,35.608304
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935318,35.610118
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934616,35.607224
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934486,35.606092
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93401,35.603625
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.933728,35.608598
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93247,35.610115
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.928544,35.611094
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.925202,35.611148
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.924577,35.612786
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.873824,35.673357
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.87352,35.668894
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.87275,35.671139
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.869154,35.669089
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.864139,35.663828
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.860093,35.665898
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.726425,35.626134
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.722857,35.636805
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.71647,35.637617
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.716079,35.646936
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.7159,35.638071
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.694721,35.666921
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.691428,35.6695
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.68843,35.636759
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.683537,35.633083
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.681695,35.622551
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.675945,35.667277
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.655825,35.67441
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.645425,35.687952
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.625795,35.668165
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.591237,35.664516
Campostoma_oligolepis,Campostoma  oligolepis,5306,Largescale Stoneroller,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.217073,35.779999
