genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.94395,35.509524
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.851127,35.52385
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.844447,35.5944
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.504826,35.562471
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.504698,35.561897
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49715,35.556141
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494939,35.560603
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.481104,35.567343
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477582,35.648458
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.473158,35.563657
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447405,35.657657
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447169,35.63976
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44529,35.655654
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444908,35.654345
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444589,35.654027
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444446,35.639563
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.443624,35.652082
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.443163,35.653642
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440044,35.653849
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439494,35.656078
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.438472,35.658424
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436881,35.669687
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.435748,35.654207
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.435533,35.655112
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.43472,35.654543
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.37635,35.634761
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.259871,35.7303
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.150175,35.756794
Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.113771,35.729297
