genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979789,35.523622
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976709,35.510981
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975843,35.51322
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973201,35.56198
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871295,35.521488
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855059,35.591805
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.849816,35.589883
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846627,35.593627
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846285,35.593933
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.845356,35.595117
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835103,35.579749
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.797977,35.462608
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.784308,35.600762
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.728197,35.473391
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.716874,35.564059
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.661357,35.438578
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634957,35.572143
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.634957,35.572152
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598107,35.446915
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.563032,35.465909
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.558065,35.47017
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.507696,35.545195
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.504826,35.562471
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49715,35.556141
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.481104,35.567343
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.4768,35.565863
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439494,35.656078
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.405244,35.490405
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.37635,35.634761
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.264116,35.644712
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25878,35.7359
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.258179,35.735398
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.256772,35.734496
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.23957,35.639294
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.237668,35.638401
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.16517,35.757598
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.123007,35.701992
Carex_intumescens,Carex  intumescens,7034,Greater Bladder Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.11177,35.749795
