genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.989152,35.564407
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.989104,35.555684
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978703,35.524388
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975705,35.562585
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973917,35.556582
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973201,35.56198
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.925198,35.566184
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.861285,35.470856
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.851173,35.47343
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.804764,35.46391
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.799358,35.464324
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.79015,35.476805
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.718682,35.471244
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.71853,35.471329
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.668349,35.449213
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.647132,35.441775
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.632129,35.47686
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.6293,35.47492
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.616038,35.446509
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.609111,35.447939
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.59837,35.446864
Carex_laxiflora_variety,Carex  laxiflora variety,7043,Broad Looseflower Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.54839,35.4621
