genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.933891,35.611838
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860706,35.584605
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854238,35.523281
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854166,35.521895
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.851127,35.52385
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838482,35.531071
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808343,35.644278
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787019,35.594607
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.775176,35.56803
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.774374,35.471427
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.764285,35.564089
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.76413,35.564075
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.75824,35.581452
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.756727,35.601036
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752039,35.584334
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.741238,35.609592
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.718682,35.471244
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.677309,35.506781
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.658738,35.604673
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.645974,35.592443
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.63693,35.599312
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.636842,35.599332
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.636831,35.599332
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629871,35.571119
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629663,35.57152
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509011,35.511979
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.492731,35.636319
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.401927,35.727394
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.381796,35.71028
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.373409,35.580464
Carex_plantaginea,Carex  plantaginea,7063,Plantain-leaf Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.371381,35.58164
