genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.983989,35.520652
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975948,35.513956
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929245,35.487665
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865699,35.520684
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.847704,35.476586
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846798,35.595335
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842943,35.558113
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.839595,35.588241
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.83653,35.582689
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.82452,35.603855
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.789312,35.592661
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.788625,35.597977
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787943,35.608538
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787595,35.608347
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787019,35.594607
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.787021,35.597545
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.782582,35.598729
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.780528,35.586257
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766138,35.598711
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750674,35.633712
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.744295,35.608621
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.728197,35.473391
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641761,35.44694
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Carex_swanii,Carex  swanii,7083,SwanÆs Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.500686,35.505905
