genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991511,35.554876
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978121,35.526836
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976795,35.518703
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883391,35.651615
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.8615,35.468859
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854487,35.585023
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.813279,35.603667
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808343,35.644278
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80757,35.641439
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.807226,35.64297
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806963,35.646825
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80694,35.645212
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80678,35.645062
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.79977,35.464765
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.759149,35.639377
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.758579,35.638849
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.757666,35.641213
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750735,35.635513
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750513,35.638673
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.749944,35.634982
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748544,35.636014
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.731958,35.475469
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.731693,35.475123
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.709954,35.509243
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.631481,35.444812
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.630349,35.444909
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629666,35.445231
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.618851,35.445619
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509221,35.490062
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.471037,35.703378
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.470929,35.699162
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.470591,35.699674
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.470386,35.694802
Carya_ovata,Carya  ovata,7197,Shag-bark Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.470266,35.700239
