genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.916388,35.563549
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.852404,35.559268
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.848174,35.562541
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.759884,35.602658
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.75356,35.60329
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.738174,35.6094
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.737312,35.597694
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.734177,35.610311
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.712993,35.661147
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.691176,35.6406
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.690454,35.645078
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.689839,35.643217
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.658647,35.685867
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.645823,35.693973
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.644395,35.694221
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.643115,35.694285
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.637831,35.695221
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.627787,35.698244
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.556474,35.662988
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.517039,35.67834
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.496098,35.673188
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.494171,35.673715
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.480261,35.686513
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.480093,35.684642
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.479742,35.692581
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.479382,35.69449
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.458041,35.696533
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.441082,35.653116
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440533,35.66773
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.439073,35.65495
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.439062,35.65496
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.39461,35.708223
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Catharus_ustulatus,Catharus  ustulatus,7287,Swainson's Thrush,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.284171,35.75664
