genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.880701,35.535089
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865648,35.523263
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.847646,35.532053
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.847646,35.532062
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761403,35.570429
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761057,35.565173
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.760911,35.565402
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.736591,35.562261
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.736181,35.561549
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.542697,35.565292
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.504698,35.561897
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.497884,35.539251
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494939,35.560603
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.467176,35.659461
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.452685,35.664174
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447405,35.657657
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.446697,35.655066
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44529,35.655654
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439494,35.656078
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39376,35.632081
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.371212,35.646211
Chelone_lyonii,Chelone  lyonii,8003,Pink Turtlehead,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.277971,35.749799
