genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991809,35.551624
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990823,35.546448
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990676,35.546938
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990308,35.543874
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990128,35.544663
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988962,35.538194
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988558,35.538303
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988138,35.534708
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985693,35.526765
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985345,35.526594
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.984384,35.525942
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979964,35.523005
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976004,35.520552
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972822,35.54784
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.971156,35.561544
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.970569,35.516964
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.955249,35.506534
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947972,35.506172
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.947336,35.501726
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922934,35.478941
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.913857,35.591118
Chrysopsis_mariana,Chrysopsis  mariana,8562,Maryland Golden-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912405,35.534282
