genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865745,35.520421
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.864517,35.520928
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854558,35.524247
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.832626,35.524458
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.832084,35.524714
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.805577,35.54236
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.805566,35.54236
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.803087,35.541814
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.802884,35.541683
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752142,35.563493
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748529,35.635564
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.719454,35.563695
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.661221,35.606691
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.61503,35.502794
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.542697,35.565292
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.504698,35.561897
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494939,35.560603
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.452685,35.664174
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447405,35.657657
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.446697,35.655066
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44529,35.655654
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.445147,35.654593
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440044,35.653849
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44003,35.653011
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439754,35.663166
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.435695,35.458208
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.434527,35.457105
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.422784,35.642561
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39376,35.632081
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.386823,35.630497
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.255478,35.7337
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254273,35.610399
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.11297,35.727003
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.111268,35.722003
Cinna_latifolia,Cinna  latifolia,8748,Slender Wood-reed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.108465,35.724297
