genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.990431,35.522845
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.990005,35.521765
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.987197,35.52096
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.878904,35.605343
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.853917,35.58948
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.853347,35.589574
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.853179,35.588902
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.84498,35.591359
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.834563,35.591343
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.786788,35.595288
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.786733,35.603861
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.776453,35.60308
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.774151,35.483852
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.771025,35.602808
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.723046,35.472894
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.722739,35.472613
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.715365,35.666276
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.708833,35.475549
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.52894,35.449304
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.52751,35.456419
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.438174,35.45604
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.438168,35.456563
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.43703,35.458289
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.425564,35.487348
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.362643,35.588843
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.330818,35.562204
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.310108,35.563252
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.305837,35.511979
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.303237,35.533231
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.30068,35.504344
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.299957,35.506043
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.299359,35.511743
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.294535,35.515008
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.242252,35.577163
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.241962,35.577448
Clinostomus_funduloides,Clinostomus  funduloides,9080,Smoky Dace,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.227815,35.600498
