genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.92588,35.518201
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.925388,35.581735
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.920923,35.620941
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.919923,35.590718
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.9161,35.567171
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.915817,35.64174
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.904858,35.549714
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.903022,35.54865
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.902097,35.548384
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.895284,35.635404
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.893384,35.631998
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.889015,35.628407
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.887435,35.610888
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.887169,35.620656
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.886765,35.627227
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.886424,35.622674
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.884785,35.624363
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.882353,35.610731
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.882204,35.58567
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.88029,35.62676
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.879977,35.624181
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.875573,35.624809
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.871273,35.606147
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.864522,35.585488
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.856519,35.592825
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.85474,35.618211
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.84747,35.614292
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.841427,35.538915
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.840851,35.577252
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.840158,35.542631
Colaptes_auratus,Colaptes  auratus,9425,Northern Flicker,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.835956,35.543866
