genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990505,35.555387
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985689,35.520718
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980949,35.520727
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980278,35.522835
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976075,35.5159
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975815,35.514554
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.975655,35.514378
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.934524,35.606217
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912412,35.618804
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846627,35.593627
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.845356,35.595117
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836422,35.593381
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.828631,35.603371
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.828502,35.605347
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.816222,35.594748
Cornus_amomum,Cornus  amomum,10100,Silky Dogwood,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.814421,35.595943
