genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985726,35.53064
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979703,35.520713
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.855504,35.47377
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.847726,35.661919
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840299,35.537896
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840288,35.537896
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838281,35.542892
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.83827,35.542901
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837448,35.583677
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.815202,35.530968
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806495,35.643861
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.773079,35.58176
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750735,35.635513
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748544,35.636014
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748529,35.635564
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747968,35.635306
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.696649,35.641812
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.64951,35.446094
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.577515,35.457803
Cryptotaenia_canadensis,Cryptotaenia  canadensis,10755,Canadian Honewort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.543159,35.611622
