genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990419,35.531722
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.865699,35.520684
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.864342,35.517859
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854274,35.525867
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.841279,35.521586
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836974,35.522995
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.832626,35.524458
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.754341,35.541694
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.720338,35.563431
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.707002,35.568996
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.645974,35.592443
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641918,35.585213
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.639272,35.586308
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629871,35.571119
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494241,35.550522
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.486385,35.648151
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.48551,35.64523
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478261,35.601428
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477093,35.641194
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440143,35.692264
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439754,35.663166
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.380859,35.57828
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.37635,35.634761
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.256977,35.735096
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.187233,35.588811
Cuscuta_rostrata,Cuscuta  rostrata,10914,Beaked Dodder,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.172585,35.549457
