genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.922961,35.526474
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.916578,35.529837
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.896569,35.537584
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.87657,35.467861
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.876294,35.467859
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.847114,35.570921
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.83823,35.584253
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.824151,35.616905
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805268,35.538572
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.790727,35.59398
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788601,35.629685
Desmognathus_marmoratus,Desmognathus  marmoratus,11921,Shovel-nosed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.709705,35.556902
