genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.992217,35.5344
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.980552,35.52162
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.979992,35.521066
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.978881,35.524122
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.978051,35.508839
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.974716,35.555508
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.926297,35.617584
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.912496,35.494398
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.907962,35.640091
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.902217,35.611894
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.899161,35.49134
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.889717,35.640242
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.887219,35.649964
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.884632,35.652036
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.881667,35.537455
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.876294,35.467859
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.875553,35.631353
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.872501,35.672181
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.870552,35.472457
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.870186,35.47425
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.868222,35.668976
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.858042,35.650796
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.857669,35.651481
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848601,35.661069
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.843231,35.660367
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.83801,35.455994
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.83776,35.485229
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.836387,35.543892
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.824895,35.617032
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.821655,35.626905
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.819336,35.649807
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.815008,35.460995
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.814003,35.46
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.812948,35.646198
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807763,35.644129
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.788601,35.629685
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.7885,35.593428
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.779006,35.484993
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.778002,35.483998
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.774991,35.612181
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.774844,35.602189
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.767004,35.483999
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.749428,35.58607
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.74889,35.642225
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.748055,35.641388
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.747773,35.640556
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.73601,35.476999
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.730539,35.638019
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.716928,35.464965
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.716833,35.465094
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.713011,35.471994
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.701755,35.659643
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.701658,35.659401
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.680447,35.513986
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.673223,35.671754
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.671004,35.447874
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.670823,35.447743
Desmognathus_monticola,Desmognathus  monticola,11922,Seal Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.660446,35.669531
