genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.984023,35.520678
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.983989,35.520652
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978429,35.521736
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978031,35.529758
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.904143,35.614191
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.900536,35.612097
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877699,35.530087
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.864532,35.485065
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.717473,35.479203
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.667926,35.449393
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.612028,35.46082
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.598107,35.446915
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.551819,35.466715
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.550882,35.454503
Dichanthelium_dichotomum_v_dichotomum,Dichanthelium  dichotomum v. dichotomum,12108,Cypress Rosette Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.549791,35.460069
