genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.780082,35.463779
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.520496,35.559837
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.519414,35.562969
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.511737,35.563355
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509154,35.562588
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.49995,35.561031
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.495309,35.556873
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494924,35.540548
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.491312,35.56496
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.490772,35.567441
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.487783,35.565691
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.483463,35.61513
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477688,35.651881
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.47644,35.593209
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.473165,35.59151
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469122,35.650579
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.465934,35.594263
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447608,35.650198
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.445194,35.656124
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440791,35.621781
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439455,35.654799
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.438071,35.645605
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.434654,35.620364
Dicranodontium_denudatum,Dicranodontium  denudatum,12267,Denuded Dicranodontium Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433713,35.663938
