genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.773332,35.488252
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.664817,35.438303
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.636091,35.448047
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.600428,35.448514
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509154,35.562588
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.495309,35.556873
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494924,35.540548
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494921,35.539033
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493833,35.555894
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.483463,35.61513
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.479869,35.585234
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478723,35.58313
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477688,35.651881
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.473121,35.587914
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469122,35.650579
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.450559,35.576829
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.445194,35.656124
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.440791,35.621781
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439455,35.654799
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436188,35.646527
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.434654,35.620364
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433919,35.654334
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433713,35.663938
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.431435,35.607728
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393345,35.625185
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254586,35.707936
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.252819,35.71427
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25213,35.694109
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.251333,35.695621
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.229416,35.692712
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.117382,35.708681
Dicranum_scoparium,Dicranum  scoparium,12340,Dicranum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.116944,35.70172
