genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912412,35.618804
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.496783,35.554625
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494461,35.555151
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.463055,35.662304
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.452685,35.664174
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.447405,35.657657
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44529,35.655654
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.445015,35.654253
Diervilla_sessilifolia,Diervilla  sessilifolia,11213,Southern Bush-honeysuckle,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.444901,35.654138
