genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.866722,35.518136
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.808843,35.646276
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.807093,35.644839
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.771707,35.602747
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.69872,35.639368
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698099,35.639634
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.682012,35.669359
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.541688,35.611527
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.49823,35.685204
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.495396,35.558962
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.4945,35.536843
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.494253,35.537037
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.494113,35.537139
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.468386,35.632413
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.385361,35.749762
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342825,35.707972
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.342333,35.707386
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.302431,35.508114
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280965,35.734995
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.280768,35.735837
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.219933,35.7416
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217436,35.651503
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.217321,35.778561
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.210163,35.760168
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.117781,35.619665
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08935,35.626372
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.082045,35.588205
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.08115,35.58731
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.081084,35.587717
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080949,35.587629
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.080821,35.58782
Diphascon_Diphascon_higginsi,Diphascon Diphascon higginsi,11373,Higgin's Waterbear,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.060241,35.59004
