genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.99419,35.540912
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.906031,35.635244
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.864844,35.520506
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.857162,35.618659
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.845448,35.600225
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.81562,35.491499
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.814009,35.516368
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813611,35.50055
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.813194,35.465552
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812255,35.599022
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.812019,35.503904
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.811166,35.600057
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.810824,35.507861
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.810629,35.459582
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.810427,35.473071
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.810364,35.470017
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.808925,35.457792
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.794171,35.602913
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.76914,35.563482
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.734217,35.651672
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.725782,35.562632
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.721566,35.563205
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.702758,35.5691
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.68319,35.568843
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.676479,35.570056
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.59923,35.588738
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.596499,35.59096
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.570639,35.549385
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.56779,35.55444
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.566417,35.562581
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.565377,35.564559
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.558059,35.564787
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.545331,35.699197
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.534325,35.701295
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.524733,35.565156
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.504131,35.545459
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.503288,35.548856
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.498146,35.550549
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.494018,35.557215
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.491778,35.551483
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.491748,35.455297
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.485623,35.568268
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.482157,35.655332
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.481475,35.610791
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.478527,35.650088
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.478455,35.5798
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.469806,35.588857
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.464501,35.66515
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.463842,35.552292
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.452038,35.603606
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.446804,35.609688
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.446045,35.638413
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.442505,35.637097
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440564,35.464411
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.440236,35.653602
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.43822,35.658519
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.435765,35.654396
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.434454,35.669782
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.42973,35.652778
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.426131,35.645901
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.426016,35.649752
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.423456,35.64289
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.422043,35.47762
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.41975,35.640089
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.417876,35.614185
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.401488,35.637958
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.393149,35.633428
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.39287,35.630729
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.392753,35.624962
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.390407,35.615887
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.389268,35.616198
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372599,35.745977
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.372039,35.746474
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.362332,35.630052
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.316973,35.559911
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.306673,35.513063
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305633,35.516013
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305386,35.514323
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305201,35.514011
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.305077,35.514689
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.30496,35.516377
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.304313,35.513406
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.265733,35.688653
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.258546,35.73586
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.252907,35.733478
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.234336,35.742658
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.216859,35.727261
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.215986,35.725672
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.208256,35.725562
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.202057,35.646107
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.194273,35.600528
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.191243,35.6767
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.182786,35.727983
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.178876,35.583013
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.177087,35.744817
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.173118,35.628396
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.169198,35.749124
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.16201,35.759719
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.16059,35.631002
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.142515,35.765594
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.109815,35.558055
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.103544,35.56461
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.072618,35.581679
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07246,35.581537
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.07165,35.586942
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.069406,35.587206
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068726,35.578825
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.068562,35.586174
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066646,35.584188
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066513,35.584596
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.066051,35.586371
Dumetella_carolinensis,Dumetella  carolinensis,13051,Gray Catbird,Bird,Ecological Framework: Biological Integrity | Focal Species or Communities | Birds,-83.058764,35.621544
