genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.895538,35.539267
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.866722,35.518136
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.866198,35.518274
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.795165,35.59787
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.69872,35.639368
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698383,35.640196
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.692396,35.641096
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.682012,35.669359
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549248,35.564199
Echiniscus_virginicus,Echiniscus  virginicus,13163,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549242,35.562612
