genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990419,35.531722
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981246,35.528759
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.973589,35.510977
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877699,35.530087
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.869604,35.522285
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.86604,35.526237
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.864342,35.517859
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860706,35.584605
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838505,35.551431
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.838008,35.549207
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.834252,35.550296
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.834064,35.546506
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.833855,35.550296
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.83288,35.543596
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.831867,35.541754
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830404,35.541554
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.830181,35.540225
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.768024,35.568546
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.767304,35.567824
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.767263,35.583616
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.764968,35.57817
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.76456,35.579144
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.76413,35.564075
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761731,35.562949
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.752142,35.563493
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.643038,35.583386
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641918,35.585213
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.641296,35.585777
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.640125,35.571282
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.635041,35.569654
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.629871,35.571119
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.594798,35.457063
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.523395,35.535133
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.519584,35.518708
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.46146,35.679409
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.44064,35.611346
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.43445,35.457855
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.396098,35.580178
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.27268,35.729797
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.204072,35.644267
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.162797,35.556313
Epifagus_virginiana,Epifagus  virginiana,14105,Beechdrops,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.156617,35.567746
