genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.851998,35.471212
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.846325,35.560485
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.769324,35.561144
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.74818,35.559248
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.733713,35.560659
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.731087,35.563242
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.680248,35.498045
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.67014,35.616012
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.567911,35.562054
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.567616,35.596672
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542781,35.563398
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.540372,35.615638
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.538561,35.620868
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.536833,35.686289
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527535,35.530728
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.515005,35.538742
Eunotia_exigua,Eunotia  exigua,15580,Meager Enotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.512746,35.590709
