genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.846325,35.560485
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.760037,35.589424
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.74818,35.559248
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.742553,35.577637
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.714606,35.665735
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.709972,35.65542
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.680248,35.498045
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.672433,35.60629
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.67014,35.616012
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.6674,35.607969
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.659292,35.503304
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.637218,35.606074
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.631006,35.522484
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.582943,35.544426
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.567616,35.596672
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.558312,35.512709
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.553153,35.642309
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.548021,35.609013
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.538561,35.620868
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.536833,35.686289
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527811,35.456178
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527535,35.530728
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.515005,35.538742
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.512746,35.590709
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.510819,35.697705
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.481103,35.507175
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.474394,35.66181
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.471144,35.634114
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.469275,35.611077
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.465776,35.527591
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450996,35.627342
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450601,35.67113
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450545,35.607855
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.440884,35.62085
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.435213,35.604921
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.425853,35.478283
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416957,35.622541
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416351,35.736452
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.415451,35.600361
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.397226,35.678966
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396573,35.667081
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.383069,35.70701
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.382706,35.705944
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.364208,35.593626
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.358628,35.584
Eunotia_incisa,Eunotia  incisa,15588,Incised Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334022,35.700941
