genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.924781,35.505862
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.905797,35.59097
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.876021,35.629629
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.853964,35.591434
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.846325,35.560485
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.719324,35.47232
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.71044,35.654571
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.708587,35.502351
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.688918,35.490641
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.688723,35.494729
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.680248,35.498045
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.672433,35.60629
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.662025,35.660871
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.659292,35.503304
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.637218,35.606074
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.634905,35.641187
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.631006,35.522484
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.596541,35.627059
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.582943,35.544426
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.553153,35.642309
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.548021,35.609013
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.540372,35.615638
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.538561,35.620868
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.536833,35.686289
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527811,35.456178
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.512746,35.590709
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.510819,35.697705
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.471144,35.634114
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450601,35.67113
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.434027,35.604764
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.415451,35.600361
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.358628,35.584
Eunotia_minor,Eunotia  minor,15599,Minor Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334022,35.700941
