genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.853964,35.591434
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.834451,35.583477
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.769324,35.561144
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.74818,35.559248
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.709972,35.65542
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.659292,35.503304
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.637218,35.606074
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.596541,35.627059
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.566501,35.466214
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.558312,35.512709
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.553153,35.642309
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.54131,35.522056
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.540372,35.615638
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.536833,35.686289
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527811,35.456178
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527535,35.530728
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.515005,35.538742
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.503544,35.494993
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.471144,35.634114
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.469275,35.611077
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450996,35.627342
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450601,35.67113
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.450545,35.607855
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.440884,35.62085
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.435213,35.604921
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.429078,35.470826
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.418125,35.559384
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.416351,35.736452
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.415451,35.600361
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.397226,35.678966
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.396573,35.667081
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.383069,35.70701
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.334022,35.700941
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.2792,35.737057
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.216185,35.744003
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.210563,35.759431
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.198763,35.744567
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.17458,35.571868
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.168465,35.55458
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.145534,35.634047
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.122067,35.58299
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.110107,35.747985
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.105586,35.757259
Eunotia_muscicola_v_tridentula,Eunotia  muscicola v. tridentula,15602,Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.085591,35.6287
