genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.769324,35.561144
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.760037,35.589424
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.74818,35.559248
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.733713,35.560659
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.731087,35.563242
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.714606,35.665735
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.688918,35.490641
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.672433,35.60629
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.67014,35.616012
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.6674,35.607969
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.647863,35.677831
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.637218,35.606074
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.631006,35.522484
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.600233,35.663664
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.596541,35.627059
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.582943,35.544426
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.567911,35.562054
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.567616,35.596672
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.558312,35.512709
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.553153,35.642309
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.548021,35.609013
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542781,35.563398
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542747,35.563038
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.540372,35.615638
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.538561,35.620868
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527535,35.530728
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.515005,35.538742
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.510819,35.697705
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.483452,35.557965
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.481103,35.507175
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.474394,35.66181
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.473982,35.592232
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.471144,35.634114
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.469275,35.611077
Eunotia_subarcuatoides,Eunotia  subarcuatoides,15628,Bowed Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.465776,35.527591
