genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.853964,35.591434
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.760037,35.589424
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.74818,35.559248
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.742553,35.577637
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.731087,35.563242
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.694932,35.499457
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.678559,35.619223
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.672433,35.60629
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.67014,35.616012
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.659292,35.503304
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.637218,35.606074
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.582943,35.544426
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.567616,35.596672
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.553153,35.642309
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542781,35.563398
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.540372,35.615638
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.527535,35.530728
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.515005,35.538742
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.481103,35.507175
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.474394,35.66181
Eunotia_varioundulata,Eunotia  varioundulata,15636,Undulated Eunotia Diatom,Algae,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.471144,35.634114
