genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981355,35.555794
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981107,35.539884
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.976008,35.515586
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.94395,35.509524
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.932369,35.605539
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912412,35.618804
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.885958,35.652987
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.808574,35.543552
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.77966,35.551586
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.761403,35.570429
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.732498,35.47579
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.732205,35.636368
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.714586,35.480828
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.681117,35.50164
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.579022,35.547692
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.549791,35.460069
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439754,35.663166
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.425723,35.48053
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.423417,35.483749
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.42164,35.617111
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414348,35.482326
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.414253,35.736539
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.410388,35.703302
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.399677,35.697332
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.397705,35.724098
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.388384,35.719551
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.371782,35.746407
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302788,35.512533
Eupatorium_fistulosum,Eupatorium  fistulosum,15686,Trumpetweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.298179,35.510945
