genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.993203,35.55678
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990676,35.546938
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978496,35.52177
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.97842,35.522088
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.971006,35.516854
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.966319,35.513806
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.955249,35.506534
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.955151,35.50687
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946982,35.501086
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.925339,35.482037
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922934,35.478941
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.920079,35.475242
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.919391,35.475106
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.918368,35.473941
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.897639,35.466753
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.896556,35.466986
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.892857,35.46612
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.892825,35.466472
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877494,35.464441
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871262,35.462057
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858963,35.454463
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858754,35.454152
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843679,35.455554
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835267,35.455356
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.835133,35.454971
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.833598,35.454872
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.833467,35.455218
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.828198,35.454818
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.827435,35.454422
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.618851,35.445619
Eupatorium_rotundifolium_variety,Eupatorium  rotundifolium variety,15695,Round-leaved Snake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.516718,35.472833
