genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979694,35.531186
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.97842,35.522088
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.974802,35.559634
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972822,35.54784
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.971156,35.561544
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.942334,35.509942
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.942241,35.510394
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.940543,35.533328
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.940235,35.533967
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.933856,35.576753
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.931351,35.577625
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.931224,35.577177
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.930699,35.577911
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.930618,35.578724
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929747,35.579016
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.92973,35.578565
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929638,35.532125
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929383,35.578123
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927338,35.579525
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.924047,35.604282
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.923266,35.604661
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.923266,35.60467
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.922692,35.597393
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.92135,35.596885
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.913857,35.591118
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.912541,35.59133
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.873618,35.556592
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.872944,35.557194
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Eurybia_surculosa,Eurybia  surculosa,14731,MichauxÆs Wood-aster,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.866954,35.516598
