genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.992217,35.5344
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.985547,35.555231
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.979992,35.521066
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.978881,35.524122
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.974716,35.555508
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.972228,35.598605
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.934626,35.608693
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.889717,35.640242
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.88741,35.650365
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.887219,35.649964
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.877132,35.663977
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.868222,35.668976
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.857669,35.651481
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.848601,35.661069
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.838038,35.589125
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.837954,35.589253
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.821933,35.607187
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.807763,35.644129
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.806146,35.609566
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805922,35.609481
Eurycea_longicauda_longicauda,Eurycea  longicauda longicauda,14738,Eastern Long-tailed Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.805542,35.609958
