genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.996006,35.557107
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.9837,35.531285
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980507,35.521288
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978703,35.524388
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.889104,35.465615
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.873637,35.46347
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.867903,35.458685
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.86765,35.458988
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.856459,35.521561
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854134,35.520967
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843578,35.521451
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.83653,35.582689
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750735,35.635513
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750674,35.633712
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747968,35.635306
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.662296,35.442027
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.617872,35.500362
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.577515,35.457803
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.558065,35.47017
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.48551,35.64523
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477093,35.641194
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.460971,35.50528
Festuca_subverticillata,Festuca  subverticillata,16589,Nodding Fescue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.459987,35.674986
