genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.883005,35.515999
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.860274,35.648372
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846104,35.479967
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.840037,35.58888
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.826119,35.614155
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806279,35.609905
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766001,35.562995
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.75605,35.639177
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.652443,35.441163
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.622607,35.462907
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.564011,35.565994
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.50429,35.496997
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.446401,35.608804
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.413965,35.481315
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.410388,35.703302
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.387743,35.742522
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.381796,35.71028
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.358244,35.586703
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.33822,35.568668
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301182,35.516521
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.273481,35.752894
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.208771,35.628009
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.202014,35.642916
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.201572,35.748995
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.123007,35.701992
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.095703,35.574059
Fragaria_virginiana,Fragaria  virginiana,16818,Wild Strawberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.053182,35.646746
