genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.993387,35.556668
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.991809,35.551624
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990676,35.546938
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990128,35.544663
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988962,35.538194
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988558,35.538303
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.988138,35.534708
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.985345,35.526594
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981355,35.555794
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.966319,35.513806
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929591,35.487458
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.929245,35.487665
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.926403,35.48403
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.918368,35.473941
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.896556,35.466986
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.896366,35.466585
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.892857,35.46612
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.892825,35.466472
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.889104,35.465615
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877494,35.464441
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871262,35.462057
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.868004,35.520998
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858963,35.454463
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.858754,35.454152
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.854706,35.454627
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.850222,35.455237
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846056,35.456111
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842145,35.455473
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.827435,35.454422
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.805637,35.609857
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.776431,35.483512
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.726999,35.47349
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.609341,35.447871
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.563046,35.464989
Gamochaeta_purpurea,Gamochaeta  purpurea,17042,Spoon-leaf Purple Everlasting,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.532604,35.459025
