genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.983799,35.531283
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.97989,35.521015
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.932736,35.606522
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.932369,35.605539
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.915936,35.472801
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.874039,35.469517
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.867903,35.458685
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846627,35.593627
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.837448,35.583677
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.806117,35.539841
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.799366,35.60537
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.789054,35.594433
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.779193,35.595527
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750735,35.635513
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.750674,35.633712
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747968,35.635306
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.747395,35.634688
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.673911,35.520999
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.523599,35.671632
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.507715,35.495141
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.48551,35.64523
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477093,35.641194
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.451751,35.697896
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.39728,35.679659
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.35983,35.586978
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.308295,35.513861
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.302433,35.508213
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.301349,35.511542
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.255476,35.749294
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.206274,35.755895
Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.11177,35.749795
