genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.782582,35.598729
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494005,35.538998
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.482009,35.647339
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.418584,35.588589
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.358244,35.586703
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.26238,35.730695
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.224869,35.755697
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.156617,35.567746
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.147369,35.614733
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.144517,35.633191
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.142936,35.588417
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.139463,35.588966
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.132982,35.596752
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.12887,35.603171
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.125776,35.597637
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.120101,35.607184
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.119933,35.560221
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.119638,35.61224
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.114139,35.592054
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.109115,35.594035
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.107043,35.575619
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.10581,35.603973
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.098873,35.608006
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.097282,35.606655
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.096079,35.611733
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.095809,35.587416
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.094725,35.616976
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.094494,35.579326
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.090506,35.619456
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.089489,35.622782
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.088311,35.621225
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.088068,35.621626
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.087961,35.620077
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.087611,35.621066
Goodyera_repens,Goodyera  repens,16376,Dwarf Rattlesnake-plantain,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.086492,35.620472
