genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.98657,35.56703
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.979992,35.521066
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.978051,35.508839
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.976575,35.510363
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.974716,35.555229
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935185,35.609806
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.933513,35.611469
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.927491,35.615509
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.926945,35.613566
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.902217,35.53551
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.889717,35.640242
Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.884632,35.652036
