genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.728297,35.566514
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.601388,35.578335
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.566668,35.562504
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.52222,35.565552
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.514721,35.599167
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.502772,35.550003
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.491947,35.548055
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.491664,35.551387
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.470281,35.661669
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.463284,35.591703
Gyrinophilus_porphyriticus_danielsi,Gyrinophilus  porphyriticus danielsi,18027,Blue Ridge Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.453334,35.576664
