genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.990532,35.529719
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.932046,35.607575
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.873853,35.469233
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.856101,35.472566
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.838675,35.55532
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.805922,35.609481
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.748896,35.634032
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.748238,35.606422
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.74612,35.609039
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.71927,35.624773
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.712433,35.663846
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.710066,35.664737
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.709463,35.660605
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.70828,35.660578
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.699721,35.640247
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698752,35.636059
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.693953,35.639799
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.693172,35.639871
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691958,35.642863
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691557,35.643422
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691159,35.640754
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691038,35.640784
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691005,35.643416
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.691003,35.643696
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.686833,35.640499
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542717,35.608819
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.499477,35.684123
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.456769,35.482416
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.427949,35.470651
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.209424,35.757433
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.160923,35.757178
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.158513,35.784625
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.111993,35.748637
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.10753,35.751726
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.065516,35.586164
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.063219,35.585671
Haplotrema_concavum,Haplotrema  concavum,18361,Gray-foot Lancetooth,Mollusca,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.060241,35.59004
