genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992421,35.526256
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992043,35.551663
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.986599,35.554159
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981276,35.531336
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979721,35.523002
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979409,35.524983
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.972274,35.557479
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.946494,35.506145
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.927176,35.617472
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.920342,35.567338
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.914754,35.595143
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.900536,35.612097
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.873637,35.46347
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.871561,35.461797
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.867903,35.458685
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.86765,35.458988
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.864271,35.526711
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.857584,35.471818
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.857028,35.555004
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.836374,35.576997
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.80694,35.645212
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.8055,35.567688
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.774374,35.471427
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.766001,35.562995
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.748544,35.636014
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.729005,35.563992
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.719454,35.563695
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.666082,35.44792
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.621002,35.499654
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.616038,35.446509
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.612099,35.44801
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.580193,35.459576
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.516522,35.472188
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.505383,35.492098
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493403,35.665014
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.477093,35.641194
Heuchera_americana,Heuchera  americana,17713,American Alumroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.121572,35.742897
