genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.999931,35.553522
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.994755,35.556679
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.990005,35.521765
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.989451,35.556414
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985958,35.568992
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985115,35.568247
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.985012,35.572314
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.981427,35.522329
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.980965,35.573838
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.967057,35.590648
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.965039,35.589778
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935428,35.608304
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935318,35.610118
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.935104,35.607293
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934659,35.60479
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934616,35.607224
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934573,35.604242
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.934486,35.606092
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93401,35.603625
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.933728,35.608598
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.933035,35.608362
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.93247,35.610115
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.930866,35.608199
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.928544,35.611094
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.925202,35.611148
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.924577,35.612786
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.715365,35.666276
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.711393,35.664437
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.591961,35.664022
Hybopsis_amblops,Hybopsis  amblops,19490,Bigeye Chub,Fish,Ecological Framework: Biological Integrity | Focal Species or Communities | Fishes,-83.471465,35.704334
