genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.992217,35.5344
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.985547,35.555231
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.972228,35.598605
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.936104,35.610504
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.935739,35.608972
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.93435,35.612025
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.87499,35.519678
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.866101,35.520512
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.860175,35.597587
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.852399,35.591481
Hyla_chrysoscelis,Hyla  chrysoscelis,20152,Cope's Gray Treefrog,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,-83.844618,35.594531
