genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.992486,35.552923
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.990823,35.546448
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.984023,35.520678
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.982753,35.520926
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.981002,35.53228
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.980032,35.538532
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979201,35.531586
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.979108,35.556183
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.97842,35.522088
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978409,35.522106
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.978031,35.529758
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.969029,35.51556
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.900536,35.612097
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.889791,35.46604
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.887386,35.649708
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.886299,35.653249
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.877494,35.464441
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.848905,35.455377
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.846056,35.456111
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.843679,35.455554
Hypericum_hypericoides,Hypericum  hypericoides,20318,St. Johnswort,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.842268,35.45584
