genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.770368,35.484408
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.718464,35.46576
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.664817,35.438303
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.520496,35.559837
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.509154,35.562588
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.494924,35.540548
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.493833,35.555894
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.491312,35.56496
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.479869,35.585234
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.478053,35.581089
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.473165,35.59151
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469142,35.587356
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.469122,35.650579
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.465934,35.594263
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.450559,35.576829
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.439455,35.654799
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.436188,35.646527
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433919,35.654334
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.433713,35.663938
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.393345,35.625185
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.287644,35.672419
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.260246,35.687233
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.254586,35.707936
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.25213,35.694109
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.251333,35.695621
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.243993,35.719168
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.243103,35.738285
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.117382,35.708681
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.116944,35.70172
Hypnum_imponens,Hypnum  imponens,20376,Hypnum Moss,Non-vascular plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-83.111305,35.71672
