genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.849332,35.592103
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.841275,35.593321
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.808843,35.646276
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.807093,35.644839
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.771707,35.602747
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.535851,35.685282
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.459325,35.61056
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.459272,35.610615
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.458253,35.610492
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.458166,35.610548
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.458097,35.610459
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.455396,35.629335
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.437201,35.60753
Hypsibius_cf_dujardini,Hypsibius  cf dujardini,20552,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.437063,35.607686
