genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,lon,lat
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.878159,35.465164
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.863563,35.519824
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.841275,35.593321
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.83783,35.590743
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.83772,35.590746
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.837723,35.590836
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.807126,35.609191
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.807093,35.644839
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.698099,35.639634
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549248,35.564199
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549242,35.562612
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.549241,35.564316
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.542627,35.611219
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.541688,35.611527
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.5398,35.611504
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.495192,35.558444
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.475476,35.625309
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.47547,35.625111
Hypsibius_convergens,Hypsibius  convergens,20553,Unspecified,Misc Animal,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-83.475318,35.625195
